Air Canada Centre,Toronto Raptors,tr
American Airlines Arena,Miami Heat,mh
American Airlines Center,Dallas Mavericks,dm
Amway Center,Orlando Magic,om
AT&T Center,San Antonio Spurs,sas
Bankers Life Fieldhouse,Indiana Pacers,ip
Barclays Center,Brooklyn Nets,bn
BMO Harris Bradley Center,Milwaukee Bucks,mb
Chesapeake Arena,Oklahoma City Thunder,okc
FedExForum,Memphis Grizzlies,mg
Madison Square Garden,New York Knicks,nyn
Moda Center at the Rose Quarter,Portland Trail Blazers,ptb
Oracle Arena,Golden State Warriors,gsw
Pepsi Center,Denver Nuggets,dn
Philips Arena,Atlanta Hawks,ah
Quicken Loans Arena,Cleveland Cavaliers,cc
Sleep Train Arena,Sacramento Kings,sk
Smoothie King Center,New Orleans Pelicans,nop
STAPLES Center,Los Angeles Clippers,lac
STAPLES Center,Los Angeles Lakers,lal
Talking Stick Resort Arena,Phoenix Suns,ps
Target Center,Minnesota Timberwolves,mt
TD Garden,Boston Celtics,bc
The Palace of Auburn Hills,Detroit Pistons,dp
Time Warner Cable Arena,Charlotte Hornets,ch
Toyota Center,Houston Rockets,hr
United Center,Chicago Bulls,cb
Verizon Center Washington DC,Washington Wizards,ww
Vivint Smart Home Arena,Utah Jazz,uj
Wells Fargo Center Philadelphia,Philadelphia 76ers,p76
